#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
donpepito;Don Pepito;mame;;199?;Gaelco / Cresmatic;Electromechanical / Rocking Car;1;;only_buttons;preliminary;0;;;;???;6;;;;
r_quijote;Don Quijote;mame;;1979;Recel;Electromechanical / Pinball;1;;keypad;preliminary;0;;recel;;Pinball;40;;;;
barata;Dona Barata (early prototype);mame;;2002;Eletro Matic Equipamentos Eletromecânicos;Whac-A-Mole / Hammer;1;;;imperfect;0;;;;2P sim;;;;;
bmcpokr;Dongfang Shenlong;mame;;1999;BMC;Gambling / Misc.;2;0;joystick (strange2-way),gambling,joystick (2-way);good;1;raster;;;1P;23;;;;
donghaer;Donggul Donggul Haerong;mame;;2001;Danbi;Platform / Shooter Scrolling;4;0;joystick (8-way),joystick (8-way),joystick (8-way),joystick (8-way);preliminary;1;raster;crysbios;;???;4;;;;
dongshiz;Dongshizhang (China, Ver. 212);mame;;2005;Subsino;Gambling / Cards;1;0;gambling;preliminary;1;raster;;;;7;;;;
sp_donky;Donkey Derby (Ace) (sp.ACE) (set 1);mame;;199?;Ace;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
cdkong;Donkey Kong (Coleco);mame;;1982;Coleco;Handheld / Electronic Game;1;0;joystick (8-way);good;1;svg;;;Non-arcade;1;;;;
m1dkong;Donkey Kong (Maygay) v9.2 (M1A/B);mame;;1996;Maygay;Slot Machine / Reels;1;;only_buttons;preliminary;0;;;;???;6;;;;
dkong;Donkey Kong (US set 1);mame;;1981;Nintendo of America;Platform / Run Jump;2;270;joystick (4-way),joystick (4-way);good;1;raster;;;2P alt;1;;;;
dkmb;Donkey Kong / Donkey Kong Jr / Mario Bros;mame;;2003;Namco / Nintendo / Cosmodog;Platform / Run Jump;0;270;;preliminary;1;raster;;;???;;;;;
dkong3;Donkey Kong 3 (US);mame;;1983;Nintendo of America;Shooter / Gallery;2;270;joystick (4-way),joystick (4-way);good;1;raster;;;2P alt;1;;;;
dkbanana;Donkey Kong Banana Kingdom (host);mame;;2007;Capcom;Medal Game / Action;1;0;only_buttons;preliminary;1;raster;;;???;3;;;;
dkjfever;Donkey Kong Jungle Fever (Ver.1.000, 2005/08/03);mame;;2005;Nintendo / Capcom;Medal Game / Action;1;0;only_buttons;preliminary;1;raster;;;???;3;;;;
dkongjr;Donkey Kong Junior (US set F-2);mame;;1982;Nintendo of America;Platform / Run Jump;2;270;joystick (4-way),joystick (4-way);good;1;raster;;;2P alt;1;;;;
m5donna;Donna Kebab (Bwb) (MPU5, set 1);mame;;199?;Bwb;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
m5donnad;Donna Kebab (Bwb) (MPU5, set 1, Datapak);mame;;199?;Bwb;Slot Machine / Reels;0;;;preliminary;0;;;;???;;;;;
donpachi;DonPachi (US);mame;;1995;Cave (Atlus license);Shooter / Flying Vertical;2;270;joystick (8-way),joystick (8-way);good;1;raster;;;2P sim;3;;;;
ndpbj;Dontore da bei - Donbei-kun to Training (Japan);mame;;2007;Nissin / SSD Company LTD;Handheld / Plug n' Play TV Game / Fitness;1;0;;preliminary;1;raster;;;Non-arcade;;;;;
ndpmj;Dontore da bei 2 - Ouchi de, Minna de Fitness! (Japan);mame;;2008;Nissin / SSD Company LTD;Handheld / Plug n' Play TV Game / Fitness;1;0;;preliminary;1;raster;;;;;;;;
doodljmp;Doodle Jump Arcade (v1.16);mame;;2013;ICE / Raw Thrills (Lima Sky license);Platform / Run Jump;0;;;preliminary;0;;;;chd;;;;;
